ID	DOCULECT	CONCEPT	COUNTERPART	IPA	PROTO	COGID	GLOSA 1 PORT	GLOSA 2 PORT	GLOSA 2 ENGL	GLOSA 3 PORT	GLOSS 3 ENGL	PWT	PET
778	KAR	armadillo	~pabo	~pabo	*pãmu	77	tatu	-	-	-	-	-	-
779	WAN	armadillo	~pabo	~pabo	*pãmu	77	tatu	-	-	-	-	-	-
780	PLR	armadillo	~pabo	~pabo	*pãmu	77	tatu	-	-	-	-	-	-
781	DES	float	pája	pája	*paʔja	78	flutuar	-	-	-	-	-	-
782	BAS	float	haja	haja	*paʔja	78	flutuar	-	-	-	-	-	-
783	TUK	float	paʔsa	paʔsa	*paʔja	78	flutuar	-	-	-	-	-	-
784	KAR	float	pasa	pasa	*paʔja	78	flutuar	-	-	-	-	-	-
785	TUY	float	pasa	pasa	*paʔja	78	flutuar	-	-	-	-	-	-
786	WAN	float	paʔsa	paʔsa	*paʔja	78	flutuar	-	-	-	-	-	-
787	SIO	fire	hẽka	hẽka	*peka	79	fogo	lenha	firewood	-	-	-	-
788	SEK	fire	heka	heka	*peka	79	fogo	lenha	firewood	-	-	-	-
789	KOR	fire	hẽkha	hẽkha	*peka	79	fogo	lenha	firewood	-	-	-	-
790	MAL	fire	heka	heka	*peka	79	fogo	lenha	firewood	-	-	-	-
791	KUE	fire	hekia	hekia	*peka	79	fogo	lenha	firewood	-	-	-	-
792	TAN	fire	peka	peka	*peka	79	fogo	lenha	firewood	-	-	-	-
793	KUB	fire	peka	peka	*peka	79	fogo	lenha	firewood	-	-	-	-
794	DES	fire	pea	pea	*peka	79	fogo	lenha	firewood	-	-	-	-
795	BAS	fire	hea	hea	*peka	79	fogo	lenha	firewood	-	-	-	-
796	TUK	fire	peka	peka	*peka	79	fogo	lenha	firewood	-	-	-	-
797	KAR	fire	pee	pee	*peka	79	fogo	lenha	firewood	-	-	-	-
798	TUY	fire	peka	peka	*peka	79	fogo	lenha	firewood	-	-	-	-
799	WAN	fire	phit∫a	phit∫a	*peka	79	fogo	lenha	firewood	-	-	-	-
800	KUE	end	peti	peti	*petʔi	80	terminar	-	-	-	-	-	-
801	DES	end	peʔdea	peʔdea	*petʔi	80	terminar	-	-	-	-	-	-
802	BAS	end	hedi	hedi	*petʔi	80	terminar	-	-	-	-	-	-
803	TUK	end	peʔti	peʔti	*petʔi	80	terminar	-	-	-	-	-	-
804	WAN	end	piʔti	piʔti	*petʔi	80	terminar	-	-	-	-	-	-
805	KUE	tocandira ant	hata	hata	*piata	81	tocandira	-	-	-	-	-	-
806	TAN	tocandira ant	patajah	patajah	*piata	81	tocandira	-	-	-	-	-	-
807	KUB	tocandira ant	piada	piada	*piata	81	tocandira	-	-	-	-	-	-
808	DES	tocandira ant	peda	peda	*piata	81	tocandira	-	-	-	-	-	-
809	BAS	tocandira ant	heta	heta	*piata	81	tocandira	-	-	-	-	-	-
810	TUK	tocandira ant	peta	peta	*piata	81	tocandira	-	-	-	-	-	-
811	KAR	tocandira ant	peta	peta	*piata	81	tocandira	-	-	-	-	-	-
812	WAN	tocandira ant	phita	phita	*piata	81	tocandira	-	-	-	-	-	-
813	SIO	palm-weevil	hĩko	hĩko	*pĩko	82	muxiva	-	-	-	-	-	-
814	SEK	palm-weevil	hĩko	hĩko	*pĩko	82	muxiva	-	-	-	-	-	-
815	KOR	palm-weevil	hĩʔkho	hĩʔkho	*pĩko	82	muxiva	-	-	-	-	-	-
816	MAL	palm-weevil	hɨ̃ko	hɨ̃ko	*pĩko	82	muxiva	-	-	-	-	-	-
817	TAN	palm-weevil	~piko	~piko	*pĩko	82	muxiva	-	-	-	-	-	-
818	KUB	palm-weevil	~piko	~piko	*pĩko	82	muxiva	-	-	-	-	-	-
819	DES	palm-weevil	~pigu	~pigu	*pĩko	82	muxiva	-	-	-	-	-	-
820	BAS	palm-weevil	~hiko	~hiko	*pĩko	82	muxiva	-	-	-	-	-	-
821	TUK	palm-weevil	~piko	~piko	*pĩko	82	muxiva	-	-	-	-	-	-
822	WAN	palm-weevil	~ phit∫o	~_phit∫o	*pĩko	82	muxiva	-	-	-	-	-	-
823	SIO	handpalm	ɨ̃tɨ	ɨ̃tɨ	*pɨtɨ	83	palma da mão	-	-	-	-	-	-
824	SEK	handpalm	hɨ̃tɨ	hɨ̃tɨ	*pɨtɨ	83	palma da mão	-	-	-	-	-	-
825	KOR	handpalm	hɨ̃thɨ	hɨ̃thɨ	*pɨtɨ	83	palma da mão	-	-	-	-	-	-
826	MAL	handpalm	hɨ̃tɨ	hɨ̃tɨ	*pɨtɨ	83	palma da mão	-	-	-	-	-	-
827	TAN	handpalm	pita	pita	*pɨtɨ	83	palma da mão	-	-	-	-	-	-
828	KUB	handpalm	pɨdɨ	pɨdɨ	*pɨtɨ	83	palma da mão	-	-	-	-	-	-
829	TAN	thorn	ɸota	ɸota	*pota	84	espinho	anzol (tan)	fishhook (tan)	-	-	-	*pota
830	DES	thorn	poda	poda	*pota	84	espinho	anzol (tan)	fishhook (tan)	-	-	-	*pota
831	BAS	thorn	hota	hota	*pota	84	espinho	anzol (tan)	fishhook (tan)	-	-	-	*pota
832	TUK	thorn	pota	pota	*pota	84	espinho	anzol (tan)	fishhook (tan)	-	-	-	*pota
833	KAR	thorn	pota	pota	*pota	84	espinho	anzol (tan)	fishhook (tan)	-	-	-	*pota
834	WAN	thorn	phota	phota	*pota	84	espinho	anzol (tan)	fishhook (tan)	-	-	-	*pota
835	SIO	blow	hu-i	hu+i	*pu-	85	assoprar	-	-	-	-	-	-
836	SEK	blow	hu	hu	*pu-	85	assoprar	-	-	-	-	-	-
837	KOR	blow	hu-i	hu+i	*pu-	85	assoprar	-	-	-	-	-	-
838	MAL	blow	hú-i	hú+i	*pu-	85	assoprar	-	-	-	-	-	-
839	KUB	blow	pu	pu	*pu-	85	assoprar	-	-	-	-	-	-
840	DES	blow	pudi	pudi	*pu-	85	assoprar	-	-	-	-	-	-
841	YUP	blow	puri	puri	*pu-	85	assoprar	-	-	-	-	-	-
842	BAS	blow	huti	huti	*pu-	85	assoprar	-	-	-	-	-	-
843	TUK	blow	puti	puti	*pu-	85	assoprar	-	-	-	-	-	-
844	KAR	blow	puti	puti	*pu-	85	assoprar	-	-	-	-	-	-
845	WAN	blow	puti	puti	*pu-	85	assoprar	-	-	-	-	-	-
846	SIO	paca	seme	seme	*seme	86	paca	-	-	-	-	-	-
847	SEK	paca	seme	seme	*seme	86	paca	-	-	-	-	-	-
848	KOR	paca	seme	seme	*seme	86	paca	-	-	-	-	-	-
849	MAL	paca	seme	seme	*seme	86	paca	-	-	-	-	-	-
850	TAN	paca	~hebe	~hebe	*seme	86	paca	-	-	-	-	-	-
851	KUB	paca	~hebe	~hebe	*seme	86	paca	-	-	-	-	-	-
852	DES	paca	~sebe	~sebe	*seme	86	paca	-	-	-	-	-	-
853	BAS	paca	~cebe	~cebe	*seme	86	paca	-	-	-	-	-	-
854	TUK	paca	~sebe	~sebe	*seme	86	paca	-	-	-	-	-	-
855	KAR	paca	~hebe	~hebe	*seme	86	paca	-	-	-	-	-	-
856	WAN	paca	~saba	~saba	*seme	86	paca	-	-	-	-	-	-
857	KUB	rub	hĩhũ	hĩhũ	*sĩkʔe	87	esfregar	-	-	-	-	-	*sĩkʔe
858	BAS	rub	~cige	~cige	*sĩkʔe	87	esfregar	-	-	-	-	-	*sĩkʔe
859	TUK	rub	~saʔke	~saʔke	*sĩkʔe	87	esfregar	-	-	-	-	-	*sĩkʔe
860	KAR	rub	~hike	~hike	*sĩkʔe	87	esfregar	-	-	-	-	-	*sĩkʔe
861	TUY	rub	tuu ~sake	tuu_~sake	*sĩkʔe	87	esfregar	-	-	-	-	-	*sĩkʔe
862	WAN	rub	thu saʔka	thu_saʔka	*sĩkʔe	87	esfregar	-	-	-	-	-	*sĩkʔe
863	SIO	monkey sp.	sisi	sisi	*sisi	88	macaco	coati (mai)	coati (mai)	-	-	-	-
864	KOR	monkey sp.	sisikoʔroro	sisikoʔroro	*sisi	88	macaco	coati (mai)	coati (mai)	-	-	-	-
865	MAL	monkey sp.	t∫it∫i	t∫it∫i	*sisi	88	macaco	coati (mai)	coati (mai)	-	-	-	-
866	KUB	monkey sp.	hihijo	hihijo	*sisi	88	macaco	coati (mai)	coati (mai)	-	-	-	-
867	BAS	monkey sp.	icikamu	icikamu	*sisi	88	macaco	coati (mai)	coati (mai)	-	-	-	-
868	KAR	monkey sp.	~sii	~sii	*sisi	88	macaco	coati (mai)	coati (mai)	-	-	-	-
869	WAN	monkey sp.	~bede- ~iʔsi	~bede+_~iʔsi	*sisi	88	macaco	coati (mai)	coati (mai)	-	-	-	-
870	SIO	to smoke meat	sẽjo	sẽjo	*sɨʔjo	89	moquear	fazer fogo	to set a fire	-	-	-	-
871	SEK	to smoke meat	sɨjo	sɨjo	*sɨʔjo	89	moquear	fazer fogo	to set a fire	-	-	-	-
872	KOR	to smoke meat	sɨjo	sɨjo	*sɨʔjo	89	moquear	fazer fogo	to set a fire	-	-	-	-
873	MAL	to smoke meat	sɨjo	sɨjo	*sɨʔjo	89	moquear	fazer fogo	to set a fire	-	-	-	-
874	KUE	to smoke meat	ãsɨ	ãsɨ	*sɨʔjo	89	moquear	fazer fogo	to set a fire	-	-	-	-
875	KUB	to smoke meat	hɨjowa	hɨjowa	*sɨʔjo	89	moquear	fazer fogo	to set a fire	-	-	-	-
876	DES	to smoke meat	siju	siju	*sɨʔjo	89	moquear	fazer fogo	to set a fire	-	-	-	-
877	YUP	to smoke meat	siju	siju	*sɨʔjo	89	moquear	fazer fogo	to set a fire	-	-	-	-
878	BAS	to smoke meat	ceco	ceco	*sɨʔjo	89	moquear	fazer fogo	to set a fire	-	-	-	-
879	TUK	to smoke meat	sɨʔso	sɨʔso	*sɨʔjo	89	moquear	fazer fogo	to set a fire	-	-	-	-
880	KAR	to smoke meat	siso	siso	*sɨʔjo	89	moquear	fazer fogo	to set a fire	-	-	-	-
881	WAN	to smoke meat	sɨso	sɨso	*sɨʔjo	89	moquear	fazer fogo	to set a fire	-	-	-	-
882	KOR	back	sõkhɨ	sõkhɨ	*sõkɨ	90	costas	-	-	-	-	-	-
883	DES	back	~sugu	~sugu	*sõkɨ	90	costas	-	-	-	-	-	-
884	TUK	back	~suku	~suku	*sõkɨ	90	costas	-	-	-	-	-	-
885	KAR	back	~hokɨ	~hokɨ	*sõkɨ	90	costas	-	-	-	-	-	-
886	TUY	back	suku	suku	*sõkɨ	90	costas	-	-	-	-	-	-
887	WAN	back	~suku	~suku	*sõkɨ	90	costas	-	-	-	-	-	-
888	SIO	pot	soto	soto	*sot-	91	pote	barro	clay	cerâmica	clay	-	-
889	SEK	pot	soto	soto	*sot-	91	pote	barro	clay	cerâmica	clay	-	-
890	KOR	pot	thotho	thotho	*sot-	91	pote	barro	clay	cerâmica	clay	-	-
891	MAL	pot	toto	toto	*sot-	91	pote	barro	clay	cerâmica	clay	-	-
892	TAN	pot	hoto	hoto	*sot-	91	pote	barro	clay	cerâmica	clay	-	-
893	KUB	pot	hodo	hodo	*sot-	91	pote	barro	clay	cerâmica	clay	-	-
894	DES	pot	sodo	sodo	*sot-	91	pote	barro	clay	cerâmica	clay	-	-
895	BAS	pot	cotɨ	cotɨ	*sot-	91	pote	barro	clay	cerâmica	clay	-	-
896	TUK	pot	sɨtɨ	sɨtɨ	*sot-	91	pote	barro	clay	cerâmica	clay	-	-
897	KAR	pot	hotɨ	hotɨ	*sot-	91	pote	barro	clay	cerâmica	clay	-	-
898	TUY	pot	sotɨ	sotɨ	*sot-	91	pote	barro	clay	cerâmica	clay	-	-
899	WAN	pot	situ	situ	*sot-	91	pote	barro	clay	cerâmica	clay	-	-
900	TAN	red	~hua	~hua	*sõʔa	92	vermelho	-	-	-	-	-	*sõʔa
901	KUB	red	~hua	~hua	*sõʔa	92	vermelho	-	-	-	-	-	*sõʔa
902	BAS	red	~cua	~cua	*sõʔa	92	vermelho	-	-	-	-	-	*sõʔa
903	TUK	red	~soʔa	~soʔa	*sõʔa	92	vermelho	-	-	-	-	-	*sõʔa
904	KAR	red	hõa	hõa	*sõʔa	92	vermelho	-	-	-	-	-	*sõʔa
905	TUY	red	~soa	~soa	*sõʔa	92	vermelho	-	-	-	-	-	*sõʔa
906	WAN	red	~soʔa	~soʔa	*sõʔa	92	vermelho	-	-	-	-	-	*sõʔa
907	TAN	root	~riko	~riko	*tʔɨ̃kʔo	93	raiz	-	-	-	-	-	*tʔɨ̃kʔo
908	KUB	root	~dɨo	~dɨo	*tʔɨ̃kʔo	93	raiz	-	-	-	-	-	*tʔɨ̃kʔo
909	DES	root	~dugu	~dugu	*tʔɨ̃kʔo	93	raiz	-	-	-	-	-	*tʔɨ̃kʔo
910	TUK	root	~dɨʔko	~dɨʔko	*tʔɨ̃kʔo	93	raiz	-	-	-	-	-	*tʔɨ̃kʔo
911	KAR	root	~dɨʔko	~dɨʔko	*tʔɨ̃kʔo	93	raiz	-	-	-	-	-	*tʔɨ̃kʔo
912	TUY	root	~dɨko	~dɨko	*tʔɨ̃kʔo	93	raiz	-	-	-	-	-	*tʔɨ̃kʔo
913	WAN	root	~dɨʔko	~dɨʔko	*tʔɨ̃kʔo	93	raiz	-	-	-	-	-	*tʔɨ̃kʔo
914	SIO	heavy	dɨkɨ	dɨkɨ	*tʔɨkkɨ	94	pesado	-	-	-	-	-	-
915	SEK	heavy	dɨkɨ	dɨkɨ	*tʔɨkkɨ	94	pesado	-	-	-	-	-	-
916	KOR	heavy	rɨkhɨ	rɨkhɨ	*tʔɨkkɨ	94	pesado	-	-	-	-	-	-
917	MAL	heavy	dɨkɨ	dɨkɨ	*tʔɨkkɨ	94	pesado	-	-	-	-	-	-
918	TAN	heavy	~riki	~riki	*tʔɨkkɨ	94	pesado	-	-	-	-	-	-
919	KUB	heavy	dɨkɨ	dɨkɨ	*tʔɨkkɨ	94	pesado	-	-	-	-	-	-
920	DES	heavy	~nɨkɨ	~nɨkɨ	*tʔɨkkɨ	94	pesado	-	-	-	-	-	-
921	BAS	heavy	~rɨkɨ	~rɨkɨ	*tʔɨkkɨ	94	pesado	-	-	-	-	-	-
922	TUK	heavy	~dɨkɨ	~dɨkɨ	*tʔɨkkɨ	94	pesado	-	-	-	-	-	-
923	KAR	heavy	~dɨkɨ	~dɨkɨ	*tʔɨkkɨ	94	pesado	-	-	-	-	-	-
924	TUY	heavy	~dɨkɨ	~dɨkɨ	*tʔɨkkɨ	94	pesado	-	-	-	-	-	-
925	WAN	heavy	~dɨkɨ	~dɨkɨ	*tʔɨkkɨ	94	pesado	-	-	-	-	-	-
926	SIO	wife	dɨ̃ho	dɨ̃ho	*tʔɨ̃po	95	esposa	-	-	-	-	-	-
927	SEK	wife	dɨho	dɨho	*tʔɨ̃po	95	esposa	-	-	-	-	-	-
928	KOR	wife	rɨho	rɨho	*tʔɨ̃po	95	esposa	-	-	-	-	-	-
929	MAL	wife	nɨho	nɨho	*tʔɨ̃po	95	esposa	-	-	-	-	-	-
930	TAN	wife	~rubu	~rubu	*tʔɨ̃po	95	esposa	-	-	-	-	-	-
931	TUK	wife	~dɨbo	~dɨbo	*tʔɨ̃po	95	esposa	-	-	-	-	-	-
932	KAR	wife	~dɨbo	~dɨbo	*tʔɨ̃po	95	esposa	-	-	-	-	-	-
933	TUY	wife	~dɨbo	~dɨbo	*tʔɨ̃po	95	esposa	-	-	-	-	-	-
934	WAN	wife	~dabo	~dabo	*tʔɨ̃po	95	esposa	-	-	-	-	-	-
935	SIO	cut	tɨ̃te	tɨ̃te	*tʔɨtte	96	cortar	-	-	-	-	-	-
936	KOR	cut	ruʔthe	ruʔthe	*tʔɨtte	96	cortar	-	-	-	-	-	-
937	MAL	cut	jɨi	jɨi	*tʔɨtte	96	cortar	-	-	-	-	-	-
938	BAS	cut	rute	rute	*tʔɨtte	96	cortar	-	-	-	-	-	-
939	TUK	cut	dɨte	dɨte	*tʔɨtte	96	cortar	-	-	-	-	-	-
940	WAN	cut	dɨte	dɨte	*tʔɨtte	96	cortar	-	-	-	-	-	-
941	SEK	traira fish	doje	doje	*tʔoje	97	traíra	-	-	-	-	-	-
942	KOR	traira fish	roje	roje	*tʔoje	97	traíra	-	-	-	-	-	-
943	TAN	traira fish	roje	roje	*tʔoje	97	traíra	-	-	-	-	-	-
944	KUB	traira fish	doje	doje	*tʔoje	97	traíra	-	-	-	-	-	-
945	DES	traira fish	doe	doe	*tʔoje	97	traíra	-	-	-	-	-	-
946	BAS	traira fish	roe	roe	*tʔoje	97	traíra	-	-	-	-	-	-
947	TUK	traira fish	doe	doe	*tʔoje	97	traíra	-	-	-	-	-	-
948	KAR	traira fish	rose	rose	*tʔoje	97	traíra	-	-	-	-	-	-
949	SIO	woman	domi	domi	*tʔõmi-	98	mulher	-	-	-	-	-	-
950	SEK	woman	dõmio	dõmio	*tʔõmi-	98	mulher	-	-	-	-	-	-
951	KOR	woman	romio	romio	*tʔõmi-	98	mulher	-	-	-	-	-	-
952	MAL	woman	nomio	nomio	*tʔõmi-	98	mulher	-	-	-	-	-	-
953	TAN	woman	~robo	~robo	*tʔõmi-	98	mulher	-	-	-	-	-	-
954	KUB	woman	~dobi	~dobi	*tʔõmi-	98	mulher	-	-	-	-	-	-
955	DES	woman	~dobeo	~dobeo	*tʔõmi-	98	mulher	-	-	-	-	-	-
956	BAS	woman	~robio	~robio	*tʔõmi-	98	mulher	-	-	-	-	-	-
957	TUK	woman	~dubio	~dubio	*tʔõmi-	98	mulher	-	-	-	-	-	-
958	KAR	woman	~robio	~robio	*tʔõmi-	98	mulher	-	-	-	-	-	-
959	TUY	woman	~dubio	~dubio	*tʔõmi-	98	mulher	-	-	-	-	-	-
960	WAN	woman	~dubido	~dubido	*tʔõmi-	98	mulher	-	-	-	-	-	-
961	SIO	dove	t∫iʔwi	t∫iʔwi	*t∫̃ɨ-	99	pomba	-	-	-	-	-	-
962	SEK	dove	sɨra	sɨra	*t∫̃ɨ-	99	pomba	-	-	-	-	-	-
963	KOR	dove	siʔwi	siʔwi	*t∫̃ɨ-	99	pomba	-	-	-	-	-	-
964	MAL	dove	sɨni	sɨni	*t∫̃ɨ-	99	pomba	-	-	-	-	-	-
965	KUB	dove	hude	hude	*t∫̃ɨ-	99	pomba	-	-	-	-	-	-
966	BAS	dove	cioro	cioro	*t∫̃ɨ-	99	pomba	-	-	-	-	-	-
967	TUK	dove	siri	siri	*t∫̃ɨ-	99	pomba	-	-	-	-	-	-
968	WAN	dove	siripi	siripi	*t∫̃ɨ-	99	pomba	-	-	-	-	-	-
969	SIO	gather	t∫ia	t∫ia	*t∫ɨ-a	100	juntar	coletar	collect	-	-	-	-
970	SEK	gather	sia	sia	*t∫ɨ-a	100	juntar	coletar	collect	-	-	-	-
971	KOR	gather	sia	sia	*t∫ɨ-a	100	juntar	coletar	collect	-	-	-	-
972	MAL	gather	t∫ia	t∫ia	*t∫ɨ-a	100	juntar	coletar	collect	-	-	-	-
973	KUB	gather	hewa	hewa	*t∫ɨ-a	100	juntar	coletar	collect	-	-	-	-
974	BAS	gather	cãa	cãa	*t∫ɨ-a	100	juntar	coletar	collect	-	-	-	-
975	TUK	gather	sua	sua	*t∫ɨ-a	100	juntar	coletar	collect	-	-	-	-
976	KAR	gather	hee	hee	*t∫ɨ-a	100	juntar	coletar	collect	-	-	-	-
977	WAN	gather	saa	saa	*t∫ɨ-a	100	juntar	coletar	collect	-	-	-	-
978	SIO	navel	t∫õhõ	t∫õhõ	*t∫õpʔɨ	101	umbigo	-	-	-	-	-	-
979	SEK	navel	sõhõ	sõhõ	*t∫õpʔɨ	101	umbigo	-	-	-	-	-	-
980	KOR	navel	sũhũ	sũhũ	*t∫õpʔɨ	101	umbigo	-	-	-	-	-	-
981	MAL	navel	sõhõ	sõhõ	*t∫õpʔɨ	101	umbigo	-	-	-	-	-	-
982	KUE	navel	tou	tou	*t∫õpʔɨ	101	umbigo	-	-	-	-	-	-
983	TAN	navel	~hubu	~hubu	*t∫õpʔɨ	101	umbigo	-	-	-	-	-	-
984	KUB	navel	~hobɨ	~hobɨ	*t∫õpʔɨ	101	umbigo	-	-	-	-	-	-
985	DES	navel	~subu	~subu	*t∫õpʔɨ	101	umbigo	-	-	-	-	-	-
986	YUP	navel	~t∫ubu	~t∫ubu	*t∫õpʔɨ	101	umbigo	-	-	-	-	-	-
987	BAS	navel	~cobɨ	~cobɨ	*t∫õpʔɨ	101	umbigo	-	-	-	-	-	-
988	TUK	navel	~subu	~subu	*t∫õpʔɨ	101	umbigo	-	-	-	-	-	-
989	KAR	navel	~hobɨ	~hobɨ	*t∫õpʔɨ	101	umbigo	-	-	-	-	-	-
990	TUY	navel	~subua	~subua	*t∫õpʔɨ	101	umbigo	-	-	-	-	-	-
991	WAN	navel	~sɨbɨka	~sɨbɨka	*t∫õpʔɨ	101	umbigo	-	-	-	-	-	-
992	SIO	grass	taja	taja	*taja	102	capim	-	-	-	-	-	-
993	SEK	grass	taja	taja	*taja	102	capim	-	-	-	-	-	-
994	KOR	grass	thaja	thaja	*taja	102	capim	-	-	-	-	-	-
995	MAL	grass	taja	taja	*taja	102	capim	-	-	-	-	-	-
996	KUE	grass	taja	taja	*taja	102	capim	-	-	-	-	-	-
997	TAN	grass	taja	taja	*taja	102	capim	-	-	-	-	-	-
998	KUB	grass	dá	dá	*taja	102	capim	-	-	-	-	-	-
999	DES	grass	taa	taa	*taja	102	capim	-	-	-	-	-	-
1000	BAS	grass	taa	taa	*taja	102	capim	-	-	-	-	-	-
1001	TUK	grass	taa	taa	*taja	102	capim	-	-	-	-	-	-
1002	KAR	grass	taa	taa	*taja	102	capim	-	-	-	-	-	-
1003	TUY	grass	taa	taa	*taja	102	capim	-	-	-	-	-	-
1004	WAN	grass	thaa	thaa	*taja	102	capim	-	-	-	-	-	-
1005	SIO	monkey	tãke	tãke	*takke	103	macaco	-	-	-	-	-	-
1006	SEK	monkey	tãke	tãke	*takke	103	macaco	-	-	-	-	-	-
1007	KOR	monkey	tãkhe	tãkhe	*takke	103	macaco	-	-	-	-	-	-
1008	MAL	monkey	tãke	tãke	*takke	103	macaco	-	-	-	-	-	-
1009	TAN	monkey	take	take	*takke	103	macaco	-	-	-	-	-	-
1010	KUB	monkey	take	take	*takke	103	macaco	-	-	-	-	-	-
1011	DES	monkey	gaki	gaki	*takke	103	macaco	-	-	-	-	-	-
1012	BAS	monkey	gake	gake	*takke	103	macaco	-	-	-	-	-	-
1013	TUK	monkey	ake	ake	*takke	103	macaco	-	-	-	-	-	-
1014	KAR	monkey	ake	ake	*takke	103	macaco	-	-	-	-	-	-
1015	TUY	monkey	ake	ake	*takke	103	macaco	-	-	-	-	-	-
1016	WAN	monkey	ka	ka	*takke	103	macaco	-	-	-	-	-	-
1017	SEK	chew	sʔãki	sʔãki	*tjʔãkʔɨ	104	mastigar	-	-	-	-	-	-
1018	KOR	chew	jaki	jaki	*tjʔãkʔɨ	104	mastigar	-	-	-	-	-	-
1019	MAL	chew	naki	naki	*tjʔãkʔɨ	104	mastigar	-	-	-	-	-	-
1020	KUB	chew	~hahɨ	~hahɨ	*tjʔãkʔɨ	104	mastigar	-	-	-	-	-	-
1021	TUK	chew	jaʔge	jaʔge	*tjʔãkʔɨ	104	mastigar	-	-	-	-	-	-
1022	TUY	chew	yage	yage	*tjʔãkʔɨ	104	mastigar	-	-	-	-	-	-
1023	WAN	chew	jaʔka	jaʔka	*tjʔãkʔɨ	104	mastigar	-	-	-	-	-	-
1024	SIO	toucan	jãse	jãse	*tjʔase(?)	105	tucano	-	-	-	-	-	-
1025	SEK	toucan	jãse	jãse	*tjʔase(?)	105	tucano	-	-	-	-	-	-
1026	KOR	toucan	jãse	jãse	*tjʔase(?)	105	tucano	-	-	-	-	-	-
1027	KUE	toucan	rase	rase	*tjʔase(?)	105	tucano	-	-	-	-	-	-
1028	TAN	toucan	~dahe	~dahe	*tjʔase(?)	105	tucano	-	-	-	-	-	-
1029	KUB	toucan	hoewe	hoewe	*tjʔase(?)	105	tucano	-	-	-	-	-	-
1030	DES	toucan	~dasi	~dasi	*tjʔase(?)	105	tucano	-	-	-	-	-	-
1031	TUK	toucan	race	race	*tjʔase(?)	105	tucano	-	-	-	-	-	-
1032	KAR	toucan	dasa	dasa	*tjʔase(?)	105	tucano	-	-	-	-	-	-
1033	WAN	toucan	dase	dase	*tjʔase(?)	105	tucano	-	-	-	-	-	-
1034	SIO	tongue	sʔeme	sʔeme	*tjʔeme	106	língua	fígado	liver	-	-	-	-
1035	SEK	tongue	sʔeme	sʔeme	*tjʔeme	106	língua	fígado	liver	-	-	-	-
1036	KOR	tongue	jeme	jeme	*tjʔeme	106	língua	fígado	liver	-	-	-	-
1037	MAL	tongue	neme	neme	*tjʔeme	106	língua	fígado	liver	-	-	-	-
1038	KUE	tongue	jame	jame	*tjʔeme	106	língua	fígado	liver	-	-	-	-
1039	KUB	tongue	~hebe	~hebe	*tjʔeme	106	língua	fígado	liver	-	-	-	-
1040	BAS	tongue	~jebe	~jebe	*tjʔeme	106	língua	fígado	liver	-	-	-	-
1041	TUK	tongue	~jebe	~jebe	*tjʔeme	106	língua	fígado	liver	-	-	-	-
1042	KAR	tongue	~jebe	~jebe	*tjʔeme	106	língua	fígado	liver	-	-	-	-
1043	TUY	tongue	~jebe	~jebe	*tjʔeme	106	língua	fígado	liver	-	-	-	-
1044	WAN	tongue	~jaba	~jaba	*tjʔeme	106	língua	fígado	liver	-	-	-	-
1045	SIO	black	sʔi	sʔi	*tjʔĩ	107	preto	-	-	-	-	-	-
1046	KOR	black	ji	ji	*tjʔĩ	107	preto	-	-	-	-	-	-
1047	MAL	black	kũi	kũi	*tjʔĩ	107	preto	-	-	-	-	-	-
1048	TAN	black	~deʔi	~deʔi	*tjʔĩ	107	preto	-	-	-	-	-	-
1049	KUB	black	~jebi	~jebi	*tjʔĩ	107	preto	-	-	-	-	-	-
1050	DES	black	~jii	~jii	*tjʔĩ	107	preto	-	-	-	-	-	-
1051	BAS	black	~jii	~jii	*tjʔĩ	107	preto	-	-	-	-	-	-
1052	TUK	black	~jii	~jii	*tjʔĩ	107	preto	-	-	-	-	-	-
1053	KAR	black	~jii	~jii	*tjʔĩ	107	preto	-	-	-	-	-	-
1054	TUY	black	~jii	~jii	*tjʔĩ	107	preto	-	-	-	-	-	-
1055	WAN	black	~jii	~jii	*tjʔĩ	107	preto	-	-	-	-	-	-
1056	SIO	egg	sʔia	sʔia	*tjʔia	108	ovo	-	-	-	-	-	-
1057	SEK	egg	sʔia	sʔia	*tjʔia	108	ovo	-	-	-	-	-	-
1058	KOR	egg	jia	jia	*tjʔia	108	ovo	-	-	-	-	-	-
1059	MAL	egg	jia	jia	*tjʔia	108	ovo	-	-	-	-	-	-
1060	TAN	egg	ria	ria	*tjʔia	108	ovo	-	-	-	-	-	-
1061	KUB	egg	hĩdɨ	hĩdɨ	*tjʔia	108	ovo	-	-	-	-	-	-
1062	BAS	egg	ria	ria	*tjʔia	108	ovo	-	-	-	-	-	-
1063	TUK	egg	die	die	*tjʔia	108	ovo	-	-	-	-	-	-
1064	KAR	egg	ria	ria	*tjʔia	108	ovo	-	-	-	-	-	-
1065	TUY	egg	diye	diye	*tjʔia	108	ovo	-	-	-	-	-	-
1066	WAN	egg	die	die	*tjʔia	108	ovo	-	-	-	-	-	-
1067	SEK	face	sʔia	sʔia	*tjʔia	109	face	-	-	-	-	-	-
1068	KOR	face	jia	jia	*tjʔia	109	face	-	-	-	-	-	-
1069	MAL	face	jia	jia	*tjʔia	109	face	-	-	-	-	-	-
1070	KUB	face	hiwa	hiwa	*tjʔia	109	face	-	-	-	-	-	-
1071	DES	face	dia	dia	*tjʔia	109	face	-	-	-	-	-	-
